horizontal,vertical,label
1.32,0.77,34
1.33,0.71,34
1.31,0.64,34
1.3,0.76,34
1.31,0.77,34
1.31,0.66,34
1.3,0.72,34
1.32,0.8,34
1.33,0.69,34
1.33,0.67,34
1.33,0.79,34
1.34,0.73,34
1.33,0.65,34
1.32,0.77,34
1.33,0.78,34
1.33,0.66,34
1.32,0.72,34
1.34,0.8,34
1.35,0.69,34
1.34,0.68,34
1.34,0.8,34
1.36,0.75,34
1.35,0.67,34
1.34,0.78,34
1.35,0.8,34
1.36,0.69,34
1.35,0.75,34
1.36,0.83,34
1.37,0.72,34
1.35,0.7,34
1.35,0.82,34
1.36,0.76,34
1.36,0.68,34
1.35,0.8,34
1.36,0.82,34
1.36,0.71,34
1.35,0.76,34
1.36,0.84,34
1.37,0.73,34
1.36,0.72,34
1.36,0.84,34
1.37,0.78,34
1.37,0.71,34
1.36,0.82,34
1.37,0.83,34
1.37,0.72,34
1.36,0.78,34
1.36,0.86,34
1.37,0.75,34
1.36,0.74,34
1.37,0.86,34
1.38,0.81,34
1.38,0.73,34
1.37,0.84,34
1.38,0.86,34
1.38,0.75,34
1.37,0.8,34
1.37,0.89,34
1.38,0.78,34
1.37,0.77,34
1.38,0.89,34
1.39,0.84,34
1.39,0.75,34
1.38,0.87,34
1.39,0.88,34
1.38,0.77,34
1.37,0.82,34
1.38,0.91,34
1.39,0.8,34
1.39,0.79,34
1.39,0.9,34
1.4,0.85,34
1.4,0.77,34
1.39,0.88,34
1.41,0.9,34
1.41,0.78,34
1.41,0.84,34
1.41,0.93,34
1.43,0.82,34
1.42,0.8,34
1.43,0.92,34
1.43,0.88,34
1.43,0.8,34
1.41,0.91,34
1.42,0.93,34
1.42,0.82,34
1.41,0.86,34
1.41,0.95,34
1.43,0.84,34
1.42,0.83,34
1.42,0.95,34
1.43,0.9,34
1.43,0.81,34
1.42,0.92,34
1.44,0.94,34
1.44,0.83,34
1.43,0.88,34
1.43,0.97,34
1.44,0.86,34
1.43,0.84,34
1.44,0.96,34
1.45,0.92,34
1.45,0.83,34
1.44,0.93,34
1.45,0.96,34
1.45,0.84,34
1.43,0.89,34
1.43,0.98,34
1.45,0.89,34
1.44,0.87,34
1.44,0.99,34
1.46,0.95,34
1.46,0.86,34
1.45,0.96,34
1.46,0.99,34
1.46,0.87,34
1.45,0.92,34
1.46,1.01,34
1.48,0.92,34
1.47,0.89,34
1.47,1.01,34
1.48,0.97,34
1.48,0.88,34
1.47,0.97,34
1.48,0.99,34
1.48,0.87,34
1.48,0.91,34
1.48,1.0,34
1.49,0.91,34
1.48,0.88,34
1.48,1.01,34
1.49,0.97,34
1.49,0.88,34
1.48,0.97,34
1.49,1.0,34
1.49,0.88,34
1.48,0.92,34
1.48,1.01,34
1.5,0.92,34
1.49,0.89,34
1.49,1.01,34
1.5,0.97,34
1.5,0.87,34
1.49,0.97,34
1.5,1.0,34
1.5,0.88,34
1.49,0.92,34
1.49,1.02,34
1.51,0.92,34
1.51,0.89,34
1.52,1.01,34
1.54,0.98,34
1.57,0.88,34
1.57,0.98,34
1.61,1.01,34
1.64,0.9,34
1.66,0.94,34
1.69,1.04,34
1.73,0.94,34
1.74,0.91,34
1.76,1.04,34
1.8,1.0,34
1.81,0.91,34
1.82,1.01,34
1.85,1.05,34
1.87,0.93,34
1.87,0.97,34
1.89,1.07,34
1.9,0.99,34
1.9,0.96,34
1.91,1.09,34
1.94,1.07,34
1.95,0.98,34
1.95,1.09,34
1.96,1.13,34
1.96,1.02,34
1.96,1.06,34
1.96,1.17,34
1.96,1.08,34
1.96,1.05,34
1.96,1.18,34
1.96,1.15,34
1.96,1.05,34
1.96,1.15,34
1.96,1.2,34
1.96,1.08,34
1.96,1.11,34
1.96,1.22,34
1.96,1.13,34
1.96,1.09,34
1.96,1.22,34
1.96,1.19,34
1.96,1.09,34
1.96,1.18,34
1.96,1.22,34
1.96,1.1,34
1.96,1.13,34
1.96,1.23,34
1.96,1.14,34
1.96,1.1,34
1.96,1.21,34
1.96,1.18,34
1.96,1.07,34
1.96,1.16,34
1.96,1.2,34
1.96,1.08,34
1.96,1.11,34
1.96,1.21,34
1.96,1.12,34
1.96,1.08,34
1.96,1.2,34
1.96,1.17,34
1.96,1.06,34
1.96,1.15,34
1.96,1.19,34
1.96,1.07,34
1.96,1.09,34
1.96,1.19,34
1.96,1.1,34
1.96,1.05,34
1.96,1.17,34
1.96,1.14,34
1.96,1.04,34
1.96,1.12,34
1.96,1.17,34
1.96,1.05,34
1.96,1.07,34
1.96,1.17,34
1.96,1.09,34
1.96,1.04,34
1.96,1.16,34
1.96,1.13,34
1.96,1.02,34
1.96,1.11,34
1.96,1.15,34
1.96,1.03,34
1.96,1.06,34
