horizontal,vertical,label
1.79,0.68,29
1.8,0.74,29
1.81,0.64,29
1.8,0.64,29
1.79,0.74,29
1.8,0.68,29
1.79,0.63,29
1.78,0.73,29
1.79,0.72,29
1.79,0.63,29
1.78,0.69,29
1.79,0.74,29
1.8,0.64,29
1.78,0.65,29
1.78,0.73,29
1.79,0.67,29
1.78,0.62,29
1.77,0.72,29
1.78,0.71,29
1.78,0.62,29
1.76,0.68,29
1.76,0.73,29
1.77,0.63,29
1.75,0.64,29
1.75,0.72,29
1.76,0.66,29
1.75,0.61,29
1.74,0.71,29
1.76,0.71,29
1.76,0.62,29
1.75,0.68,29
1.76,0.73,29
1.76,0.63,29
1.75,0.64,29
1.75,0.72,29
1.76,0.66,29
1.75,0.61,29
1.73,0.71,29
1.74,0.7,29
1.74,0.61,29
1.72,0.67,29
1.72,0.71,29
1.73,0.61,29
1.72,0.62,29
1.72,0.71,29
1.73,0.64,29
1.72,0.6,29
1.71,0.7,29
1.72,0.69,29
1.72,0.59,29
1.7,0.66,29
1.71,0.7,29
1.72,0.6,29
1.71,0.61,29
1.7,0.7,29
1.72,0.63,29
1.71,0.59,29
1.7,0.68,29
1.7,0.66,29
1.7,0.58,29
1.68,0.64,29
1.69,0.68,29
1.7,0.59,29
1.69,0.6,29
1.68,0.69,29
1.7,0.62,29
1.68,0.58,29
1.67,0.67,29
1.69,0.65,29
1.69,0.57,29
1.67,0.63,29
1.68,0.67,29
1.68,0.57,29
1.67,0.59,29
1.66,0.67,29
1.68,0.6,29
1.67,0.56,29
1.66,0.66,29
1.67,0.64,29
1.67,0.55,29
1.65,0.62,29
1.66,0.65,29
1.66,0.54,29
1.64,0.56,29
1.64,0.64,29
1.66,0.57,29
1.65,0.53,29
1.64,0.63,29
1.65,0.61,29
1.65,0.53,29
1.63,0.6,29
1.64,0.63,29
1.64,0.53,29
1.63,0.55,29
1.62,0.63,29
1.64,0.56,29
1.63,0.52,29
1.62,0.62,29
1.64,0.6,29
1.65,0.51,29
1.63,0.58,29
1.65,0.61,29
1.66,0.51,29
1.64,0.53,29
1.64,0.61,29
1.66,0.54,29
1.65,0.5,29
1.64,0.6,29
1.65,0.57,29
1.65,0.49,29
1.63,0.56,29
1.63,0.6,29
1.64,0.5,29
1.62,0.52,29
1.62,0.6,29
1.64,0.52,29
1.63,0.48,29
1.62,0.58,29
1.63,0.56,29
1.63,0.47,29
1.61,0.54,29
1.62,0.57,29
1.63,0.47,29
1.61,0.5,29
1.61,0.58,29
1.63,0.5,29
1.62,0.47,29
1.61,0.57,29
1.62,0.54,29
1.61,0.46,29
1.59,0.53,29
1.59,0.56,29
1.6,0.46,29
1.58,0.48,29
1.58,0.56,29
1.6,0.48,29
1.59,0.45,29
1.58,0.54,29
1.59,0.51,29
1.59,0.43,29
1.56,0.51,29
1.57,0.53,29
1.57,0.43,29
1.56,0.46,29
1.56,0.54,29
1.57,0.46,29
1.56,0.43,29
1.55,0.53,29
1.56,0.5,29
1.56,0.42,29
1.54,0.5,29
1.54,0.53,29
1.55,0.43,29
1.53,0.46,29
1.53,0.53,29
1.55,0.45,29
1.55,0.43,29
1.54,0.52,29
1.56,0.49,29
