horizontal,vertical,label,movement_type
1.53,0.54,2,P
1.52,0.53,2,P
1.5,0.61,2,P
1.52,0.57,2,P
1.51,0.52,2,P
1.48,0.6,2,P
1.48,0.61,2,P
1.48,0.53,2,P
1.48,0.57,2,P
1.48,0.63,2,P
1.51,0.54,2,P
1.5,0.54,2,P
1.5,0.62,2,P
1.5,0.58,2,P
1.5,0.53,2,P
1.48,0.61,2,P
1.48,0.62,2,P
1.49,0.54,2,P
1.48,0.58,2,P
1.48,0.64,2,P
1.48,0.55,2,P
1.49,0.55,2,P
1.48,0.63,2,P
1.5,0.59,2,P
1.48,0.53,2,P
1.48,0.62,2,P
1.47,0.63,2,P
1.47,0.55,2,P
1.47,0.6,2,P
1.48,0.66,2,P
1.5,0.57,2,P
1.5,0.57,2,P
1.49,0.65,2,P
1.49,0.61,2,P
1.47,0.56,2,P
1.46,0.66,2,P
1.46,0.66,2,P
1.45,0.58,2,P
1.44,0.63,2,P
1.45,0.68,2,P
1.47,0.6,2,P
1.47,0.59,2,P
1.47,0.68,2,P
1.47,0.64,2,P
1.47,0.58,2,P
1.46,0.67,2,P
1.48,0.67,2,P
1.48,0.59,2,P
1.45,0.63,2,P
1.45,0.69,2,P
1.46,0.61,2,P
1.44,0.61,2,P
1.44,0.69,2,P
1.47,0.65,2,P
1.46,0.59,2,P
1.44,0.68,2,P
1.46,0.68,2,P
1.46,0.59,2,P
1.45,0.64,2,P
1.46,0.7,2,P
1.47,0.61,2,P
1.45,0.61,2,P
1.44,0.7,2,P
1.47,0.65,2,P
1.45,0.6,2,P
1.43,0.69,2,P
1.44,0.69,2,P
1.45,0.61,2,P
1.42,0.66,2,P
1.43,0.71,2,P
1.45,0.62,2,P
1.44,0.62,2,P
1.43,0.7,2,P
1.43,0.66,2,P
1.4,0.61,2,P
1.38,0.69,2,P
1.39,0.69,2,P
1.39,0.6,2,P
1.39,0.65,2,P
1.41,0.7,2,P
1.43,0.6,2,P
1.42,0.6,2,P
1.41,0.69,2,P
1.44,0.64,2,P
1.44,0.59,2,P
1.42,0.68,2,P
1.43,0.67,2,P
1.44,0.59,2,P
1.42,0.63,2,P
1.42,0.68,2,P
1.43,0.59,2,P
1.42,0.59,2,P
1.41,0.67,2,P
1.43,0.63,2,P
1.42,0.58,2,P
1.41,0.67,2,P
1.42,0.67,2,P
1.42,0.59,2,P
1.41,0.63,2,P
1.42,0.68,2,P
1.43,0.59,2,P
1.41,0.6,2,P
1.4,0.68,2,P
1.41,0.63,2,P
1.41,0.59,2,P
1.4,0.68,2,P
1.42,0.67,2,P
1.44,0.6,2,P
1.42,0.65,2,P
1.42,0.7,2,P
1.41,0.61,2,P
1.4,0.61,2,P
1.39,0.7,2,P
1.4,0.64,2,P
1.38,0.59,2,P
1.37,0.68,2,P
1.4,0.67,2,P
1.41,0.58,2,P
1.43,0.63,2,P
1.47,0.69,2,P
1.49,0.6,2,P
1.46,0.61,2,P
1.45,0.69,2,P
1.45,0.64,2,P
1.43,0.59,2,P
1.42,0.67,2,P
1.44,0.67,2,P
1.46,0.59,2,P
1.45,0.64,2,P
1.47,0.69,2,P
1.46,0.61,2,P
1.45,0.62,2,P
1.44,0.7,2,P
1.44,0.66,2,P
1.43,0.61,2,P
1.44,0.7,2,P
1.44,0.69,2,P
1.44,0.62,2,P
1.43,0.67,2,P
1.42,0.71,2,P
1.43,0.63,2,P
1.41,0.64,2,P
1.4,0.71,2,P
1.4,0.66,2,P
1.39,0.61,2,P
1.38,0.69,2,P
1.4,0.68,2,P
1.41,0.58,2,P
1.41,0.61,2,P
1.43,0.63,2,P
1.44,0.51,2,P
1.42,0.48,2,P
1.4,0.53,2,P
1.41,0.44,2,P
1.39,0.36,2,P
1.37,0.41,2,P
1.38,0.38,2,P
1.37,0.28,2,P
1.36,0.29,2,P
1.37,0.31,2,P
1.38,0.22,2,P
1.37,0.2,2,P
1.39,0.25,2,P
1.41,0.19,2,P
1.4,0.13,2,P
1.4,0.2,2,P
1.4,0.19,2,P
1.38,0.13,2,P
1.36,0.2,2,P
1.34,0.24,2,P
1.33,0.17,2,P
1.32,0.19,2,P
1.33,0.25,2,P
1.34,0.2,2,P
1.35,0.17,2,P
1.35,0.24,2,P
1.35,0.23,2,P
1.36,0.17,2,P
1.35,0.23,2,P
1.37,0.27,2,P
1.4,0.2,2,P
1.4,0.2,2,P
1.39,0.26,2,P
1.41,0.19,2,P
1.39,0.15,2,P
1.34,0.21,2,P
1.34,0.19,2,P
1.34,0.13,2,P
1.32,0.18,2,P
1.34,0.21,2,P
1.37,0.15,2,P
1.38,0.15,2,P
1.38,0.19,2,P
1.38,0.13,2,P
1.38,0.09,2,P
1.37,0.14,2,P
1.37,0.12,2,P
1.36,0.08,2,P
1.35,0.13,2,P
1.33,0.15,2,P
1.35,0.11,2,P
1.36,0.12,2,P
1.36,0.15,2,P
1.37,0.09,2,P
1.38,0.06,2,P
1.38,0.11,2,P
1.38,0.1,2,P
1.39,0.07,2,P
1.38,0.13,2,P
1.39,0.16,2,P
1.4,0.11,2,P
1.38,0.12,2,P
1.37,0.15,2,P
1.38,0.09,2,P
1.36,0.06,2,P
1.33,0.1,2,P
1.35,0.08,2,P
1.37,0.05,2,P
1.36,0.1,2,P
1.37,0.11,2,P
1.37,0.08,2,P
1.36,0.09,2,P
1.34,0.11,2,P
1.36,0.06,2,P
1.36,0.05,2,P
1.37,0.08,2,P
1.38,0.05,2,P
1.38,0.03,2,P
1.37,0.06,2,P
1.38,0.06,2,P
1.39,0.04,2,P
1.38,0.04,2,P
1.38,0.04,2,P
1.39,0.01,2,P
1.39,0.01,2,P
1.38,0.01,2,P
1.39,0.01,2,P
1.39,0.01,2,P
1.38,0.02,2,P
1.37,0.02,2,P
1.39,0.02,2,P
1.39,0.02,2,P
1.37,0.02,2,P
1.39,0.0,2,P
1.39,0.0,2,P
1.38,0.0,2,P
1.39,0.0,2,P
1.4,0.0,2,P
1.39,0.01,2,P
1.4,0.01,2,P
