horizontal,vertical,label,movement_type
1.54,0.95,2,L
1.54,0.83,2,L
1.53,0.82,2,L
1.54,0.96,2,L
1.55,0.9,2,L
1.53,0.8,2,L
1.55,0.93,2,L
1.57,0.95,2,L
1.57,0.81,2,L
1.58,0.88,2,L
1.62,0.98,2,L
1.64,0.86,2,L
1.66,0.85,2,L
1.69,0.99,2,L
1.73,0.93,2,L
1.73,0.85,2,L
1.75,0.99,2,L
1.79,1.01,2,L
1.8,0.89,2,L
1.81,0.96,2,L
1.85,1.06,2,L
1.87,0.94,2,L
1.88,0.93,2,L
1.9,1.07,2,L
1.92,1.02,2,L
1.92,0.94,2,L
1.92,1.07,2,L
1.94,1.09,2,L
1.94,0.97,2,L
1.94,1.04,2,L
1.96,1.14,2,L
1.96,1.02,2,L
1.96,1.01,2,L
1.96,1.15,2,L
1.96,1.09,2,L
1.96,0.99,2,L
1.96,1.12,2,L
1.96,1.13,2,L
1.96,0.99,2,L
1.96,1.05,2,L
1.96,1.15,2,L
1.96,1.02,2,L
1.96,1.01,2,L
1.96,1.15,2,L
1.96,1.09,2,L
1.96,0.99,2,L
1.96,1.12,2,L
1.96,1.13,2,L
1.96,1.0,2,L
1.96,1.06,2,L
1.96,1.15,2,L
1.96,1.03,2,L
1.96,1.02,2,L
1.96,1.15,2,L
1.96,1.08,2,L
1.96,0.99,2,L
1.96,1.11,2,L
1.96,1.12,2,L
1.96,0.98,2,L
1.96,1.05,2,L
1.96,1.14,2,L
1.96,1.01,2,L
1.96,1.0,2,L
1.96,1.13,2,L
1.96,1.06,2,L
1.96,0.97,2,L
1.96,1.1,2,L
1.96,1.11,2,L
1.96,0.97,2,L
1.96,1.04,2,L
1.96,1.12,2,L
1.96,0.99,2,L
1.96,0.98,2,L
1.96,1.11,2,L
1.96,1.04,2,L
1.95,0.95,2,L
1.95,1.08,2,L
1.95,1.09,2,L
1.95,0.96,2,L
1.95,1.03,2,L
1.96,1.12,2,L
1.96,0.98,2,L
1.95,0.98,2,L
1.95,1.11,2,L
1.95,1.05,2,L
1.95,0.96,2,L
1.95,1.09,2,L
1.95,1.1,2,L
1.95,0.96,2,L
1.95,1.03,2,L
1.96,1.12,2,L
1.96,0.98,2,L
