horizontal,vertical,label,movement_type
1.63,0.92,2,D
1.6,0.97,2,D
1.61,0.98,2,D
1.62,0.91,2,D
1.6,0.94,2,D
1.59,1.0,2,D
1.62,0.94,2,D
1.61,0.92,2,D
1.59,0.99,2,D
1.61,0.97,2,D
1.62,0.91,2,D
1.59,0.96,2,D
1.6,0.97,2,D
1.61,0.89,2,D
1.59,0.92,2,D
1.58,0.98,2,D
1.61,0.93,2,D
1.6,0.92,2,D
1.59,0.99,2,D
1.6,0.96,2,D
1.61,0.9,2,D
1.59,0.96,2,D
1.59,0.97,2,D
1.61,0.9,2,D
1.59,0.94,2,D
1.57,1.0,2,D
1.6,0.93,2,D
1.59,0.93,2,D
1.58,0.99,2,D
1.6,0.97,2,D
1.61,0.91,2,D
1.59,0.97,2,D
1.61,0.99,2,D
1.62,0.92,2,D
1.61,0.96,2,D
1.61,1.01,2,D
1.64,0.95,2,D
1.64,0.93,2,D
1.62,1.0,2,D
1.63,0.97,2,D
1.64,0.92,2,D
1.61,0.99,2,D
1.62,1.0,2,D
1.64,0.93,2,D
1.63,0.96,2,D
1.62,1.01,2,D
1.65,0.94,2,D
1.64,0.93,2,D
1.63,1.0,2,D
1.65,0.98,2,D
1.66,0.93,2,D
1.63,0.99,2,D
1.64,1.0,2,D
1.66,0.93,2,D
1.65,0.96,2,D
1.64,1.01,2,D
1.67,0.94,2,D
1.66,0.94,2,D
1.64,1.01,2,D
1.65,0.99,2,D
1.66,0.94,2,D
1.64,1.0,2,D
1.64,1.01,2,D
1.66,0.94,2,D
1.64,0.97,2,D
1.63,1.02,2,D
1.65,0.96,2,D
1.64,0.95,2,D
1.62,1.02,2,D
1.64,0.99,2,D
1.65,0.94,2,D
1.63,1.0,2,D
1.64,1.01,2,D
1.65,0.94,2,D
1.64,0.97,2,D
1.63,1.02,2,D
1.66,0.96,2,D
1.65,0.95,2,D
1.64,1.02,2,D
1.66,1.0,2,D
1.67,0.95,2,D
1.64,1.01,2,D
1.65,1.02,2,D
1.66,0.95,2,D
1.65,0.99,2,D
1.64,1.04,2,D
1.66,0.97,2,D
1.66,0.97,2,D
1.64,1.04,2,D
1.66,1.01,2,D
1.67,0.97,2,D
1.64,1.04,2,D
1.65,1.05,2,D
1.66,0.99,2,D
1.64,1.02,2,D
1.63,1.07,2,D
1.66,1.01,2,D
1.65,1.0,2,D
1.63,1.07,2,D
1.65,1.04,2,D
1.66,0.99,2,D
1.63,1.06,2,D
1.64,1.07,2,D
1.65,1.0,2,D
1.63,1.04,2,D
1.62,1.09,2,D
1.65,1.02,2,D
1.64,1.01,2,D
1.63,1.08,2,D
1.64,1.04,2,D
1.65,0.99,2,D
1.62,1.06,2,D
1.63,1.07,2,D
1.65,1.0,2,D
1.64,1.03,2,D
1.63,1.08,2,D
1.66,1.01,2,D
1.65,1.0,2,D
1.63,1.06,2,D
1.65,1.03,2,D
1.66,0.98,2,D
1.64,1.05,2,D
1.64,1.06,2,D
1.66,0.99,2,D
1.64,1.03,2,D
1.63,1.09,2,D
1.66,1.03,2,D
1.64,1.04,2,D
1.62,1.12,2,D
1.64,1.11,2,D
1.64,1.08,2,D
1.62,1.16,2,D
1.63,1.19,2,D
1.64,1.14,2,D
1.63,1.2,2,D
1.62,1.27,2,D
1.65,1.22,2,D
1.64,1.23,2,D
1.62,1.32,2,D
1.64,1.31,2,D
1.64,1.28,2,D
1.61,1.35,2,D
1.63,1.37,2,D
1.64,1.32,2,D
1.63,1.37,2,D
1.63,1.43,2,D
1.66,1.38,2,D
1.66,1.39,2,D
1.65,1.47,2,D
1.67,1.45,2,D
